Program,Run,Metric,Value
openMP,5,sys_time,0.025013000
pthread,1,cpu_atom_cycles,1602932156
pthread,1,cpu_core_cycles,1933200740
pthread,1,cpu_atom_instructions,1371670753
pthread,1,cpu_core_instructions,4531477446
pthread,1,cpu_atom_L1_dcache_loads,172553319
pthread,1,cpu_core_L1_dcache_loads,1203592081
pthread,1,cpu_atom_L1_dcache_load_misses,<not
pthread,1,cpu_core_L1_dcache_load_misses,15970170
pthread,1,cpu_core_l2_rqsts_references,49388857
pthread,1,cpu_core_l2_rqsts_miss,15910480
pthread,1,cpu_atom_LLC_loads,2099187
pthread,1,cpu_core_LLC_loads,2732924
pthread,1,cpu_atom_LLC_load_misses,4170
pthread,1,cpu_core_LLC_load_misses,351428
pthread,1,cpu_atom_branch_misses,402234
pthread,1,cpu_core_branch_misses,1131007
pthread,1,time_elapsed,0.232958108
pthread,1,user_time,0.539527000
pthread,1,sys_time,0.043830000
pthread,2,cpu_atom_cycles,1293661427
pthread,2,cpu_core_cycles,2028308934
pthread,2,cpu_atom_instructions,1012441930
pthread,2,cpu_core_instructions,4587135863
pthread,2,cpu_atom_L1_dcache_loads,101051590
pthread,2,cpu_core_L1_dcache_loads,1133585804
pthread,2,cpu_atom_L1_dcache_load_misses,<not
pthread,2,cpu_core_L1_dcache_load_misses,12491626
pthread,2,cpu_core_l2_rqsts_references,41445451
pthread,2,cpu_core_l2_rqsts_miss,13410491
pthread,2,cpu_atom_LLC_loads,1662991
pthread,2,cpu_core_LLC_loads,1811644
pthread,2,cpu_atom_LLC_load_misses,834
pthread,2,cpu_core_LLC_load_misses,369887
pthread,2,cpu_atom_branch_misses,303490
pthread,2,cpu_core_branch_misses,1292512
pthread,2,time_elapsed,0.253279241
pthread,2,user_time,0.562293000
pthread,2,sys_time,0.048718000
pthread,3,cpu_atom_cycles,1583998028
pthread,3,cpu_core_cycles,1936605632
pthread,3,cpu_atom_instructions,1224244748
pthread,3,cpu_core_instructions,4792898281
pthread,3,cpu_atom_L1_dcache_loads,116841461
pthread,3,cpu_core_L1_dcache_loads,1236597594
pthread,3,cpu_atom_L1_dcache_load_misses,<not
pthread,3,cpu_core_L1_dcache_load_misses,12592204
pthread,3,cpu_core_l2_rqsts_references,41587851
pthread,3,cpu_core_l2_rqsts_miss,13282445
pthread,3,cpu_atom_LLC_loads,1899967
pthread,3,cpu_core_LLC_loads,1863249
pthread,3,cpu_atom_LLC_load_misses,49
pthread,3,cpu_core_LLC_load_misses,477463
pthread,3,cpu_atom_branch_misses,340367
pthread,3,cpu_core_branch_misses,1444642
pthread,3,time_elapsed,0.226443240
pthread,3,user_time,0.531874000
pthread,3,sys_time,0.052987000
pthread,4,cpu_atom_cycles,1644003013
pthread,4,cpu_core_cycles,2108616814
pthread,4,cpu_atom_instructions,1399843563
pthread,4,cpu_core_instructions,4679642219
pthread,4,cpu_atom_L1_dcache_loads,168365441
pthread,4,cpu_core_L1_dcache_loads,1181070267
pthread,4,cpu_atom_L1_dcache_load_misses,<not
pthread,4,cpu_core_L1_dcache_load_misses,13656468
pthread,4,cpu_core_l2_rqsts_references,51147805
pthread,4,cpu_core_l2_rqsts_miss,15124114
pthread,4,cpu_atom_LLC_loads,1960094
pthread,4,cpu_core_LLC_loads,1777939
pthread,4,cpu_atom_LLC_load_misses,0
pthread,4,cpu_core_LLC_load_misses,393862
pthread,4,cpu_atom_branch_misses,379763
pthread,4,cpu_core_branch_misses,1414097
pthread,4,time_elapsed,0.237529062
pthread,4,user_time,0.548106000
pthread,4,sys_time,0.038879000
pthread,5,cpu_atom_cycles,1525423937
pthread,5,cpu_core_cycles,2262845825
pthread,5,cpu_atom_instructions,1157365350
pthread,5,cpu_core_instructions,5112454791
pthread,5,cpu_atom_L1_dcache_loads,109925162
pthread,5,cpu_core_L1_dcache_loads,1265207063
pthread,5,cpu_atom_L1_dcache_load_misses,<not
pthread,5,cpu_core_L1_dcache_load_misses,11825154
pthread,5,cpu_core_l2_rqsts_references,47311217
pthread,5,cpu_core_l2_rqsts_miss,16006214
pthread,5,cpu_atom_LLC_loads,2079386
pthread,5,cpu_core_LLC_loads,2110939
pthread,5,cpu_atom_LLC_load_misses,0
pthread,5,cpu_core_LLC_load_misses,435768
pthread,5,cpu_atom_branch_misses,359421
pthread,5,cpu_core_branch_misses,1452156
pthread,5,time_elapsed,0.266683323
pthread,5,user_time,0.620063000
pthread,5,sys_time,0.065062000
